Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
994047,1,21-07-2017,1:05PM,002V02021,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
994048,1,21-07-2017,1:06PM,002V02001,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
994049,1,21-07-2017,1:06PM,001V03024,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994050,1,21-07-2017,1:06PM,002V02023,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994051,1,21-07-2017,12:53PM,10216,0447779344997#,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994052,3,21-07-2017,12:56PM,002V03012,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994053,3,21-07-2017,1:07PM,002V02025,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994054,1,21-07-2017,1:04PM,001V03021,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
994055,1,21-07-2017,1:06PM,002V02024,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
994056,1,21-07-2017,1:07PM,002V03004,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994057,1,21-07-2017,1:07PM,001V03028,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
994058,1,21-07-2017,1:07PM,001V03027,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994059,1,21-07-2017,1:05PM,2512,017029677150#,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994060,1,21-07-2017,12:52PM,002V02007,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
994061,1,21-07-2017,1:07PM,002V02026,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994062,1,21-07-2017,1:01PM,001V03014,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994063,2,21-07-2017,1:08PM,002V02027,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
994064,2,21-07-2017,1:08PM,002V02028,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994065,1,21-07-2017,1:08PM,002V02030,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994066,2,21-07-2017,12:29PM,001V03015,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
994067,3,21-07-2017,1:08PM,,,CONN,:00,60,6544,01.09.00,:00,:00,N,Y,N,
994068,1,21-07-2017,1:09PM,001V03031,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994069,1,21-07-2017,1:08PM,002V02029,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994070,3,21-07-2017,1:08PM,001V03030,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994071,3,21-07-2017,1:06PM,002V03003,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994072,2,21-07-2017,1:03PM,0,8062,ANS,:11,45,6075,06.28.00,:00,:05,N,N,N,
994073,3,21-07-2017,1:09PM,002V02001,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994074,2,21-07-2017,1:08PM,0,8062,ANS,:04,45,6074,01.41.00,:00,:05,N,N,N,
994075,2,21-07-2017,12:44PM,001V03029,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994076,3,21-07-2017,1:10PM,,,CONN,:00,60,6543,0.3,:00,:00,N,Y,N,
994077,2,21-07-2017,1:09PM,002V02031,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994078,2,21-07-2017,1:04PM,4.42E+11,8062,ANS,:07,45,6076,02.40.00,03:59,:05,N,Y,N,
994079,2,21-07-2017,1:08PM,4.41E+11,8062,ANS,:12,45,6077,02.54.00,:00,:05,N,Y,N,
994080,1,21-07-2017,1:11PM,001V03003,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994081,2,21-07-2017,1:07PM,12284362946,8004,ANS,01:51,48,6009,02.38.00,:00,:05,N,N,N,
994082,3,21-07-2017,1:10PM,32897,8072,ANS,:08,60,6544,01.31.00,:00,:05,N,Y,N,
994083,3,21-07-2017,1:11PM,32808,9717193588#,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994084,1,21-07-2017,12:38PM,001V03025,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994085,3,21-07-2017,1:10PM,32841,8072,ANS,:38,60,6542,0.4,:00,:05,N,Y,N,
994086,2,21-07-2017,1:12PM,9910619077,8052,ABAN,:11,43,,0.0,:00,:00,N,N,N,
994087,1,21-07-2017,1:12PM,001V03004,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994088,2,21-07-2017,1:06PM,17029674111,8004,ANS,02:29,48,6028,02.32.00,01:08,:05,N,N,N,
994089,1,21-07-2017,1:07PM,002V03005,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994090,1,21-07-2017,1:13PM,002V02003,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
994091,1,21-07-2017,1:12PM,001V03005,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994092,1,21-07-2017,1:14PM,002V02005,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994093,2,21-07-2017,1:00PM,002V03019,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
994094,2,21-07-2017,1:13PM,002V02002,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994095,1,21-07-2017,12:42PM,002V03031,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994096,2,21-07-2017,12:57PM,002V03014,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
994097,1,21-07-2017,12:37PM,002V03028,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994098,1,21-07-2017,1:04PM,002V03001,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994099,1,21-07-2017,1:09PM,001V03001,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994100,1,21-07-2017,1:15PM,001V03006,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994101,1,21-07-2017,1:06PM,001V03026,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994102,2,21-07-2017,1:15PM,002V05001,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994103,1,21-07-2017,1:16PM,001V03008,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994104,1,21-07-2017,1:14PM,002V02004,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994105,2,21-07-2017,1:12PM,4.48E+11,8062,ANS,:04,45,6078,03.42.00,:00,:05,N,Y,N,
994106,3,21-07-2017,1:16PM,002V02002,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994107,2,21-07-2017,1:16PM,001V03010,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994108,2,21-07-2017,1:16PM,002V03008,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
994109,2,21-07-2017,1:16PM,001V03011,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
994110,1,21-07-2017,1:17PM,001V03014,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994111,1,21-07-2017,1:17PM,4.42E+11,,CONN,:09,33,,0.0,:00,:00,N,N,N,
994112,3,21-07-2017,1:15PM,,,ABAN,02:28,60,6543,0.0,:00,:00,N,N,N,
994113,3,21-07-2017,1:17PM,32886,1126366908#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994114,1,21-07-2017,12:56PM,001V03009,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994115,1,21-07-2017,1:18PM,002V02007,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994116,3,21-07-2017,1:18PM,32841,8072,ANS,:14,60,6544,0.3,:00,:05,N,Y,N,
994117,3,21-07-2017,1:18PM,002V02008,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994118,3,21-07-2017,1:18PM,32889,097124443366#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994119,3,21-07-2017,1:18PM,2656996952,8052,ABAN,01:06,60,,0.0,:00,:00,N,N,N,
994120,1,21-07-2017,1:18PM,001V03015,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994121,2,21-07-2017,12:53PM,001V03007,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994122,2,21-07-2017,1:10PM,001V03002,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994123,3,21-07-2017,1:19PM,32886,9891082001#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
994124,1,21-07-2017,1:01PM,001V03013,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
